maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
left,160066,3,False,False,True,10.0,0.0,49.79069720267549,6,10.298913727679809,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,66
left,160067,3,False,False,True,10.0,0.0,41.002333162369695,9,8.713781113575322,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,67
left,160068,3,False,False,True,10.0,0.0,40.49425638989716,7,2.9066971315935204,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,68
left,160069,3,False,False,True,10.0,0.0,48.30514206350914,9,13.409168993280836,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,69
left,160070,3,False,False,True,10.0,0.0,42.749449684167445,6,15.22865774830566,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,70
left,160071,3,False,False,True,10.0,0.0,46.994311199520254,8,3.5826116824565766,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,71
left,160072,3,False,False,True,10.0,0.0,46.91686822451642,10,7.514103737900062,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,72
left,160073,3,False,False,True,10.0,0.0,42.02416329367051,7,10.147990005264017,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,73
left,160074,3,False,False,True,10.0,0.0,43.79402162617751,7,7.872884614815584,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,74
left,160075,3,False,False,True,10.0,0.0,37.910305935185974,7,9.68357052579527,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,75
left,160076,3,False,False,True,10.0,0.0,45.129622048022796,9,5.962069491521026,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,76
left,160077,3,False,False,True,10.0,0.0,56.301822852332535,9,5.801680029519059,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,77
